Mês;Cadastros;Viagens (Viagens);Viagens Acumuladas
jan-18;292;585;585
fev-18;184;332;917
mar-18;387;500;1417
abr-18;366;385;1802
mai-18;341;636;2438
jun-18;329;803;3241
jul-18;416;883;4124
ago-18;301;331;4455
set-18;290;510;4965
out-18;268;601;5566
nov-18;252;512;6078
dez-18;282;619;6697
jan-19;385;863;7560
fev-19;203;701;8261
mar-19;268;545;8806
abr-19;269;572;9378
mai-19;243;602;9980
jun-19;159;374;10354
jul-19;206;182;10536
ago-19;191;216;10752
set-19;167;356;11108
out-19;132;184;11292
